mutation,crossover,tournament,generations,average train fitness,average test fitness,standard deviation
0.9,0.2,50,150, 0.7798944687863576, 0.6174567259102208, 0.07452509822522344
0.3,0.4,2,150, 0.7955564527637748, 0.6442428502986756, 0.07455109937009605
None,0.3,10,150, 0.9066582889054313, 0.6829345505135778, 0.06469306021861497
0.5,0.4,2,150, 0.7881477159080937, 0.6266418929468044, 0.07119617154172922
0.1,0.8,10,150, 0.9014981503883557, 0.687162485291403, 0.07366168603673144
0.9,0.6,50,150, 0.7839194402386827, 0.618656709619138, 0.07959020230917913
0.7,0.4,10,150, 0.8006821944939246, 0.6135032871369951, 0.06687753909491667
None,0.5,10,150, 0.9104515049096569, 0.6865380470121439, 0.0732607500256216
0.1,0.4,10,150, 0.89989150471806, 0.690114259092665, 0.08552771095591347
None,0.8,20,150, 0.9193590593249539, 0.7042864373196311, 0.06778202133349158
0.5,0.8,2,150, 0.7842312014496052, 0.6165753290776, 0.06818516074717886
0.1,0.2,10,150, 0.8983074712956205, 0.6613565236376433, 0.04742060369259095
None,0.5,20,150, 0.9197891964820072, 0.665102735900403, 0.06156575566163681
0.9,0.6,100,150, 0.7868117615296928, 0.6135941198931064, 0.08984088372683378
0.3,0.8,10,150, 0.8611422837870804, 0.6421030698696383, 0.07042531231665443
None,0.2,20,150, 0.9000491731363093, 0.6838415212659498, 0.06626329216687207
0.1,0.4,50,150, 0.9048874971214884, 0.6926095444632897, 0.052762578548345096
0.1,0.2,50,150, 0.8983488495560301, 0.6633998261563787, 0.0664873662088041
0.9,0.4,10,150, 0.7820703530248029, 0.6239373073598221, 0.06216006377720988
0.9,0.4,2,150, 0.7689885895328119, 0.6371692614508166, 0.06535592316999239
0.1,0.6,50,150, 0.8935572336889174, 0.6613984500879244, 0.08098110699375344
None,0.5,50,150, 0.9167800463856217, 0.6802580340063866, 0.08312853191394638
0.7,0.4,2,150, 0.7749797008631518, 0.6158108083985404, 0.07513917085131368
0.5,0.4,50,150, 0.8426503165371323, 0.6229274783394498, 0.03857025650693217
None,0.7,10,150, 0.9158844724850984, 0.6882700042291177, 0.0640431758710185
0.1,0.4,100,150, 0.8933291173335006, 0.6796182429599675, 0.0705512717633603
0.5,0.2,50,150, 0.8336556686921871, 0.6404185085978605, 0.06536261017407172
0.3,0.8,20,150, 0.8724369180893897, 0.640095570095051, 0.07134065113175314
0.7,0.2,10,150, 0.7909587760833953, 0.627328950654758, 0.05749634770852164
0.5,0.2,100,150, 0.8348868701423601, 0.6300581301733889, 0.07270579849986235
0.9,0.4,100,150, 0.7820045271584494, 0.6255117109256497, 0.08950382386586467
0.7,0.8,20,150, 0.8101784641049622, 0.6488127858108833, 0.07971215773557491
0.3,0.2,10,150, 0.8522324040436683, 0.6672064466382128, 0.06595578820251989
0.7,0.4,20,150, 0.8061997610838758, 0.6361592011524235, 0.05513007158585431
